X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
154,-4.80E-02,6.44E+00,,,,
155,2.40E-01,6.16E+00,,,,
156,2.16E-01,6.40E+00,,,,
157,-7.20E-02,6.12E+00,,,,
158,2.24E-01,6.44E+00,,,,
159,-8.80E-02,6.16E+00,,,,
160,-1.76E-01,6.44E+00,,,,
161,2.40E-01,6.16E+00,,,,
162,-4.80E-02,6.52E+00,,,,
163,2.48E-01,6.12E+00,,,,
164,-4.80E-02,6.44E+00,,,,
165,2.40E-01,6.16E+00,,,,
166,2.64E-01,6.48E+00,,,,
167,-8.80E-02,6.16E+00,,,,
168,-1.12E-01,6.44E+00,,,,
169,2.48E-01,6.16E+00,,,,
170,-5.60E-02,6.16E+00,,,,
171,2.24E-01,6.48E+00,,,,
172,-7.20E-02,6.44E+00,,,,
173,2.56E-01,6.12E+00,,,,
174,2.56E-01,6.48E+00,,,,
175,-1.20E-01,6.12E+00,,,,
176,2.32E-01,6.44E+00,,,,
177,-1.44E-01,6.16E+00,,,,
178,2.24E-01,6.44E+00,,,,
179,-8.80E-02,6.16E+00,,,,
180,2.40E-01,6.16E+00,,,,
181,-5.60E-02,6.48E+00,,,,
182,2.64E-01,6.16E+00,,,,
183,-4.80E-02,6.48E+00,,,,
184,-8.80E-02,6.16E+00,,,,
185,2.48E-01,6.48E+00,,,,
186,-5.60E-02,6.16E+00,,,,
187,2.24E-01,6.40E+00,,,,
188,-6.40E-02,6.12E+00,,,,
189,2.08E-01,6.44E+00,,,,
190,-6.40E-02,6.44E+00,,,,
191,2.32E-01,6.16E+00,,,,
192,-6.40E-02,6.20E+00,,,,
193,2.00E-01,6.48E+00,,,,
194,-3.20E-02,6.44E+00,,,,
195,2.40E-01,6.12E+00,,,,
196,-7.20E-02,6.48E+00,,,,
197,2.24E-01,6.16E+00,,,,
198,2.32E-01,6.16E+00,,,,
199,-9.60E-02,6.48E+00,,,,
200,-7.04E-01,6.16E+00,,,,
201,1.02E+00,9.76E+00,,,,
202,1.02E+00,7.60E+00,,,,
203,-1.02E+00,5.04E+00,,,,
204,-1.02E+00,7.44E+00,,,,
205,1.02E+00,5.52E+00,,,,
206,-9.04E-01,5.64E+00,,,,
