X,CH1,CH2,CH3,,
Sequence,Volt,Volt,Volt,Start,Increment
120,1.28E+00,4.20E+00,0.00E+00,,
121,-9.60E-01,6.60E+00,-3.00E-01,,
122,1.36E+00,6.20E+00,-3.00E-01,,
123,-7.20E-01,4.40E+00,0.00E+00,,
124,1.36E+00,6.40E+00,-3.00E-01,,
125,-1.28E+00,4.20E+00,0.00E+00,,
126,-1.12E+00,6.60E+00,0.00E+00,,
127,1.44E+00,4.00E+00,-3.00E-01,,
128,8.80E-01,6.00E+00,-3.00E-01,,
129,-1.44E+00,4.00E+00,0.00E+00,,
130,1.36E+00,6.40E+00,0.00E+00,,
131,-1.12E+00,4.20E+00,-3.00E-01,,
132,-1.04E+00,6.40E+00,-2.00E-01,,
133,1.12E+00,4.60E+00,0.00E+00,,
134,-1.44E+00,4.00E+00,-3.00E-01,,
135,1.04E+00,6.20E+00,0.00E+00,,
136,-1.04E+00,4.60E+00,0.00E+00,,
137,1.44E+00,6.20E+00,-3.00E-01,,
138,-1.12E+00,4.60E+00,-3.00E-01,,
139,1.12E+00,6.20E+00,0.00E+00,,
140,-1.12E+00,6.40E+00,0.00E+00,,
141,1.44E+00,4.60E+00,-3.00E-01,,
142,-1.04E+00,6.40E+00,0.00E+00,,
143,1.20E+00,4.00E+00,-3.00E-01,,
144,-4.00E-01,4.80E+00,-1.00E-01,,
145,1.52E+00,6.80E+00,-3.00E-01,,
146,-1.36E+00,4.00E+00,0.00E+00,,
147,1.36E+00,6.20E+00,-3.00E-01,,
148,1.52E+00,6.60E+00,-3.00E-01,,
149,-9.60E-01,4.60E+00,0.00E+00,,
150,-1.28E+00,4.00E+00,0.00E+00,,
151,1.12E+00,6.40E+00,-3.00E-01,,
152,1.12E+00,4.00E+00,-3.00E-01,,
153,-1.44E+00,6.40E+00,0.00E+00,,
154,-8.80E-01,6.20E+00,-3.00E-01,,
155,1.36E+00,4.60E+00,-1.00E-01,,
156,-1.28E+00,4.00E+00,0.00E+00,,
157,1.52E+00,6.20E+00,-3.00E-01,,
158,1.52E+00,6.60E+00,-3.00E-01,,
159,-1.28E+00,4.40E+00,0.00E+00,,
160,-9.60E-01,4.00E+00,0.00E+00,,
161,1.20E+00,6.20E+00,-3.00E-01,,
162,1.52E+00,6.80E+00,-2.00E-01,,
163,-1.44E+00,4.00E+00,0.00E+00,,
164,-1.04E+00,6.40E+00,-3.00E-01,,
165,1.52E+00,4.60E+00,0.00E+00,,
166,-1.04E+00,4.60E+00,0.00E+00,,
167,1.28E+00,6.80E+00,-3.00E-01,,
168,1.20E+00,6.20E+00,-3.00E-01,,
169,-1.12E+00,4.40E+00,0.00E+00,,
170,-8.00E-01,4.60E+00,0.00E+00,,
171,1.44E+00,6.40E+00,-3.00E-01,,
172,-1.44E+00,4.00E+00,-2.00E-01,,
173,1.04E+00,6.20E+00,0.00E+00,,
174,-1.44E+00,4.00E+00,-1.00E-01,,
175,1.12E+00,6.40E+00,-3.00E-01,,
176,8.00E-01,4.00E+00,0.00E+00,,
177,-1.20E+00,6.20E+00,-3.00E-01,,
178,-8.80E-01,6.60E+00,-3.00E-01,,
179,1.36E+00,4.00E+00,0.00E+00,,
180,-9.60E-01,4.60E+00,0.00E+00,,
181,1.44E+00,6.40E+00,-3.00E-01,,
182,-9.60E-01,4.60E+00,-2.00E-01,,
183,1.36E+00,6.20E+00,0.00E+00,,
184,1.04E+00,6.20E+00,-3.00E-01,,
185,-1.44E+00,4.00E+00,0.00E+00,,
186,1.12E+00,6.20E+00,0.00E+00,,
187,-1.44E+00,4.00E+00,-3.00E-01,,
188,1.60E+00,6.40E+00,-3.00E-01,,
189,-9.60E-01,4.20E+00,0.00E+00,,
190,1.36E+00,6.40E+00,0.00E+00,,
191,-9.60E-01,4.20E+00,-3.00E-01,,
192,-1.12E+00,6.00E+00,-3.00E-01,,
193,1.12E+00,4.60E+00,0.00E+00,,
194,-1.44E+00,6.60E+00,-1.00E-01,,
195,1.52E+00,4.00E+00,-3.00E-01,,
196,1.04E+00,6.60E+00,0.00E+00,,
197,-1.28E+00,4.00E+00,-3.00E-01,,
198,-9.60E-01,6.40E+00,-3.00E-01,,
199,1.52E+00,4.20E+00,0.00E+00,,
200,1.12E+00,6.20E+00,0.00E+00,,
201,-8.80E-01,4.20E+00,-3.00E-01,,
202,1.36E+00,4.00E+00,-3.00E-01,,
203,-1.28E+00,6.20E+00,0.00E+00,,
204,1.12E+00,6.80E+00,-1.00E-01,,
205,-1.36E+00,4.00E+00,-3.00E-01,,
206,-1.12E+00,4.00E+00,0.00E+00,,
207,1.12E+00,6.20E+00,-3.00E-01,,
208,-1.28E+00,4.20E+00,-3.00E-01,,
209,1.52E+00,6.40E+00,0.00E+00,,
210,1.60E+00,6.40E+00,0.00E+00,,
211,-9.60E-01,4.60E+00,-3.00E-01,,
212,1.12E+00,4.00E+00,-3.00E-01,,
213,-1.44E+00,6.20E+00,0.00E+00,,
214,-7.20E-01,6.40E+00,-3.00E-01,,
215,1.04E+00,4.40E+00,0.00E+00,,
216,1.52E+00,4.60E+00,0.00E+00,,
217,-9.60E-01,6.40E+00,-3.00E-01,,
218,1.04E+00,6.40E+00,-3.00E-01,,
219,-8.80E-01,4.60E+00,0.00E+00,,
220,1.44E+00,4.60E+00,0.00E+00,,
221,-9.60E-01,6.80E+00,-3.00E-01,,
222,1.44E+00,4.60E+00,-2.00E-01,,
223,-1.12E+00,6.60E+00,0.00E+00,,
224,1.52E+00,6.80E+00,-3.00E-01,,
225,-9.60E-01,4.60E+00,0.00E+00,,
226,1.36E+00,6.20E+00,0.00E+00,,
227,-1.52E+00,4.00E+00,-3.00E-01,,
228,-7.20E-01,4.80E+00,-3.00E-01,,
229,1.52E+00,6.40E+00,0.00E+00,,
230,1.04E+00,4.00E+00,-1.00E-01,,
231,-1.36E+00,6.40E+00,-3.00E-01,,
232,1.44E+00,6.60E+00,-3.00E-01,,
233,-1.44E+00,4.00E+00,0.00E+00,,
234,1.28E+00,4.20E+00,-3.00E-01,,
235,-7.20E-01,6.40E+00,0.00E+00,,
236,1.04E+00,6.20E+00,0.00E+00,,
237,-1.44E+00,4.00E+00,-3.00E-01,,
238,-9.60E-01,4.00E+00,-3.00E-01,,
239,1.44E+00,6.20E+00,0.00E+00,,
240,-1.04E+00,6.60E+00,0.00E+00,,
241,1.60E+00,4.60E+00,-3.00E-01,,
242,1.60E+00,6.40E+00,0.00E+00,,
243,-1.12E+00,4.00E+00,-3.00E-01,,
244,-1.20E+00,4.00E+00,-3.00E-01,,
245,1.44E+00,6.40E+00,0.00E+00,,
246,-8.80E-01,4.60E+00,0.00E+00,,
247,1.52E+00,6.60E+00,-3.00E-01,,
248,1.36E+00,6.40E+00,-3.00E-01,,
249,-8.00E-01,4.60E+00,0.00E+00,,
250,-7.20E-01,4.60E+00,0.00E+00,,
251,1.12E+00,6.80E+00,-3.00E-01,,
252,-1.20E+00,4.20E+00,-3.00E-01,,
253,1.52E+00,6.60E+00,0.00E+00,,
254,-8.80E-01,4.60E+00,-3.00E-01,,
255,9.60E-01,6.00E+00,0.00E+00,,
