X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
0,3.20E-01,5.00E+00,-1.15E+01,2.00E-02,,6
1,-8.00E-02,5.60E+00,,,,
2,-8.00E-02,5.00E+00,,,,
3,3.20E-01,5.60E+00,,,,
4,3.20E-01,5.00E+00,,,,
5,0.00E+00,5.60E+00,,,,
6,4.00E-01,5.00E+00,,,,
7,-8.00E-02,5.60E+00,,,,
8,-8.00E-02,5.00E+00,,,,
9,3.20E-01,5.60E+00,,,,
10,4.00E-01,5.00E+00,,,,
11,-8.00E-02,5.60E+00,,,,
12,0.00E+00,5.00E+00,,,,
13,4.00E-01,5.40E+00,,,,
14,-8.00E-02,5.00E+00,,,,
15,4.00E-01,5.60E+00,,,,
16,4.00E-01,5.00E+00,,,,
17,-8.00E-02,5.40E+00,,,,
18,3.20E-01,5.00E+00,,,,
19,-8.00E-02,5.60E+00,,,,
20,-8.00E-02,5.00E+00,,,,
21,3.20E-01,5.60E+00,,,,
22,-8.00E-02,5.00E+00,,,,
23,3.20E-01,5.40E+00,,,,
24,4.00E-01,5.00E+00,,,,
25,-8.00E-02,5.60E+00,,,,
26,-8.00E-02,5.00E+00,,,,
27,3.20E-01,5.60E+00,,,,
28,3.20E-01,5.00E+00,,,,
29,-8.00E-02,5.60E+00,,,,
30,3.20E-01,5.00E+00,,,,
31,-8.00E-02,5.60E+00,,,,
32,-8.00E-02,5.40E+00,,,,
33,3.20E-01,5.00E+00,,,,
34,3.20E-01,5.00E+00,,,,
35,-8.00E-02,5.60E+00,,,,
36,4.00E-01,5.00E+00,,,,
37,-8.00E-02,5.60E+00,,,,
38,3.20E-01,5.00E+00,,,,
39,-8.00E-02,5.60E+00,,,,
40,3.20E-01,5.40E+00,,,,
41,-8.00E-02,5.00E+00,,,,
42,-8.00E-02,5.00E+00,,,,
43,4.00E-01,5.40E+00,,,,
44,4.00E-01,5.00E+00,,,,
45,-8.00E-02,5.40E+00,,,,
46,-8.00E-02,5.00E+00,,,,
47,4.00E-01,5.40E+00,,,,
48,-1.60E-01,5.00E+00,,,,
49,3.20E-01,5.40E+00,,,,
50,-8.00E-02,5.00E+00,,,,
51,4.00E-01,5.40E+00,,,,
52,-8.00E-02,5.00E+00,,,,
53,4.00E-01,5.40E+00,,,,
54,3.20E-01,5.00E+00,,,,
55,-8.00E-02,5.60E+00,,,,
56,3.20E-01,5.60E+00,,,,
57,-8.00E-02,5.00E+00,,,,
58,3.20E-01,5.00E+00,,,,
59,-8.00E-02,5.60E+00,,,,
60,4.00E-01,5.00E+00,,,,
61,-8.00E-02,5.60E+00,,,,
62,4.00E-01,5.00E+00,,,,
63,-8.00E-02,5.40E+00,,,,
64,-8.00E-02,5.00E+00,,,,
65,3.20E-01,5.40E+00,,,,
66,4.00E-01,5.00E+00,,,,
67,0.00E+00,5.40E+00,,,,
68,-8.00E-02,5.00E+00,,,,
69,3.20E-01,5.60E+00,,,,
70,-8.00E-02,5.00E+00,,,,
71,4.00E-01,5.40E+00,,,,
72,3.20E-01,5.00E+00,,,,
73,-8.00E-02,5.40E+00,,,,
74,-8.00E-02,5.00E+00,,,,
75,3.20E-01,5.40E+00,,,,
