X,CH1,CH2,Start,Increment,P(Psi),V_int (cc)
Sequence,Volt,Volt,-2.50E+00,5.00E-03,8.5,11.73
152,-8.00E-02,5.60E+00,,,,
153,2.40E-01,5.00E+00,,,,
154,-8.00E-02,5.60E+00,,,,
155,2.40E-01,5.00E+00,,,,
156,-8.00E-02,5.60E+00,,,,
157,3.20E-01,5.00E+00,,,,
158,-8.00E-02,5.60E+00,,,,
159,3.20E-01,5.20E+00,,,,
160,3.20E-01,5.20E+00,,,,
161,-1.60E-01,5.60E+00,,,,
162,-8.00E-02,5.20E+00,,,,
163,3.20E-01,5.60E+00,,,,
164,-8.00E-02,5.80E+00,,,,
165,3.20E-01,5.20E+00,,,,
166,3.20E-01,5.60E+00,,,,
167,-8.00E-02,5.20E+00,,,,
168,2.40E-01,5.60E+00,,,,
169,-8.00E-02,5.20E+00,,,,
170,-8.00E-02,5.60E+00,,,,
171,3.20E-01,5.00E+00,,,,
172,2.40E-01,5.00E+00,,,,
173,-1.60E-01,5.60E+00,,,,
174,2.40E-01,5.00E+00,,,,
175,-8.00E-02,5.60E+00,,,,
176,-8.00E-02,5.60E+00,,,,
177,3.20E-01,5.00E+00,,,,
178,2.40E-01,5.60E+00,,,,
179,-1.60E-01,5.00E+00,,,,
180,-1.60E-01,5.60E+00,,,,
181,3.20E-01,5.20E+00,,,,
182,-8.00E-02,5.60E+00,,,,
183,3.20E-01,5.20E+00,,,,
184,2.40E-01,5.60E+00,,,,
185,-8.00E-02,5.00E+00,,,,
186,-8.00E-02,5.60E+00,,,,
187,2.40E-01,5.00E+00,,,,
188,-8.00E-02,5.00E+00,,,,
189,2.40E-01,5.60E+00,,,,
190,-8.00E-02,5.00E+00,,,,
191,3.20E-01,5.80E+00,,,,
192,-8.00E-02,5.60E+00,,,,
193,3.20E-01,5.00E+00,,,,
194,2.40E-01,5.60E+00,,,,
195,-1.60E-01,5.00E+00,,,,
196,-9.60E-01,3.40E+00,,,,
197,1.68E+00,6.60E+00,,,,
198,1.52E+00,3.80E+00,,,,
199,-1.20E+00,6.20E+00,,,,
200,1.44E+00,6.20E+00,,,,
201,-1.04E+00,4.20E+00,,,,
202,-1.36E+00,3.80E+00,,,,
203,1.36E+00,6.60E+00,,,,
204,-1.12E+00,4.40E+00,,,,
205,1.44E+00,6.20E+00,,,,
206,-1.12E+00,6.20E+00,,,,
207,1.04E+00,4.20E+00,,,,
208,1.20E+00,6.00E+00,,,,
209,-1.28E+00,4.20E+00,,,,
210,1.12E+00,6.00E+00,,,,
211,-9.60E-01,4.60E+00,,,,
212,-9.60E-01,6.00E+00,,,,
213,1.36E+00,4.40E+00,,,,
214,-8.00E-01,4.40E+00,,,,
215,1.12E+00,6.20E+00,,,,
216,8.80E-01,6.20E+00,,,,
217,-8.00E-01,4.20E+00,,,,
218,-7.20E-01,6.20E+00,,,,
219,8.00E-01,4.40E+00,,,,
220,1.20E+00,6.20E+00,,,,
221,-5.60E-01,4.20E+00,,,,
222,-8.00E-01,6.20E+00,,,,
223,1.12E+00,4.40E+00,,,,
224,1.12E+00,6.20E+00,,,,
225,-1.04E+00,4.00E+00,,,,
226,1.12E+00,6.20E+00,,,,
227,-8.80E-01,4.40E+00,,,,
228,-1.12E+00,4.00E+00,,,,
229,1.04E+00,6.00E+00,,,,
230,1.20E+00,4.20E+00,,,,
231,-9.60E-01,6.20E+00,,,,
232,-1.12E+00,4.20E+00,,,,
233,1.20E+00,6.20E+00,,,,
234,-1.04E+00,6.20E+00,,,,
235,1.36E+00,4.60E+00,,,,
236,-1.12E+00,4.60E+00,,,,
237,1.04E+00,6.20E+00,,,,
238,1.20E+00,6.20E+00,,,,
239,-1.04E+00,4.60E+00,,,,
240,-8.80E-01,6.20E+00,,,,
241,1.12E+00,4.40E+00,,,,
242,1.20E+00,4.40E+00,,,,
243,-1.12E+00,6.20E+00,,,,
244,1.12E+00,6.20E+00,,,,
245,-8.80E-01,4.40E+00,,,,
246,1.12E+00,4.20E+00,,,,
247,-8.80E-01,6.20E+00,,,,
248,1.20E+00,4.00E+00,,,,
249,-1.12E+00,6.20E+00,,,,
250,-1.04E+00,4.60E+00,,,,
251,1.04E+00,6.20E+00,,,,
252,-1.12E+00,6.00E+00,,,,
253,8.00E-01,4.40E+00,,,,
254,-9.60E-01,4.60E+00,,,,
255,1.12E+00,6.40E+00,,,,
256,-9.60E-01,4.40E+00,,,,
257,1.04E+00,6.20E+00,,,,
258,1.28E+00,6.20E+00,,,,
259,-1.12E+00,4.40E+00,,,,
260,1.12E+00,4.80E+00,,,,
261,-9.60E-01,6.40E+00,,,,
262,-9.60E-01,4.60E+00,,,,
263,1.28E+00,6.40E+00,,,,
264,-7.20E-01,4.80E+00,,,,
265,1.12E+00,6.60E+00,,,,
266,9.60E-01,4.60E+00,,,,
267,-7.20E-01,6.60E+00,,,,
268,-8.00E-01,6.20E+00,,,,
269,1.28E+00,4.60E+00,,,,
270,1.12E+00,4.80E+00,,,,
271,-1.12E+00,6.60E+00,,,,
272,1.04E+00,6.40E+00,,,,
273,-9.60E-01,5.00E+00,,,,
274,1.04E+00,6.40E+00,,,,
275,-1.20E+00,4.80E+00,,,,
276,1.04E+00,4.80E+00,,,,
277,-9.60E-01,6.60E+00,,,,
278,-9.60E-01,6.40E+00,,,,
279,1.20E+00,4.60E+00,,,,
280,-1.12E+00,4.60E+00,,,,
281,1.04E+00,6.60E+00,,,,
282,1.20E+00,6.60E+00,,,,
283,-9.60E-01,4.60E+00,,,,
284,1.04E+00,4.60E+00,,,,
285,-1.12E+00,6.80E+00,,,,
286,-9.60E-01,6.60E+00,,,,
287,1.12E+00,4.60E+00,,,,
288,-6.40E-01,6.60E+00,,,,
289,1.20E+00,4.80E+00,,,,
290,-9.60E-01,6.60E+00,,,,
291,1.20E+00,4.80E+00,,,,
292,-1.20E+00,6.40E+00,,,,
293,9.60E-01,4.60E+00,,,,
294,9.60E-01,6.60E+00,,,,
295,-8.00E-01,5.00E+00,,,,
296,1.12E+00,4.80E+00,,,,
297,-1.20E+00,6.60E+00,,,,
298,1.20E+00,6.80E+00,,,,
299,-9.60E-01,5.20E+00,,,,
300,9.60E-01,4.80E+00,,,,
301,-1.20E+00,7.00E+00,,,,
302,1.12E+00,4.80E+00,,,,
303,-1.04E+00,6.80E+00,,,,
304,1.04E+00,7.00E+00,,,,
305,-9.60E-01,5.20E+00,,,,
306,1.04E+00,6.80E+00,,,,
307,-9.60E-01,4.80E+00,,,,
308,1.20E+00,5.20E+00,,,,
309,-6.40E-01,6.80E+00,,,,
310,-1.04E+00,6.80E+00,,,,
311,1.04E+00,5.20E+00,,,,
